Naziv poslovnog subjekta,Mjesto,NKD2007,Opis šifre djelatnosti,Broj zaposlenih (sati rada),Dobit/gubitak razdoblja,Kapital i rezerve,Ukupan prihod
CENOSCO CROATIA D.O.O.,PULA,6201,Računalno programiranje,17,1.797.986,3.636.134,7.734.124
GLOBALLOGIC D.D.,PEŠČENICA,6203,Upravljanje računalnom opremom i sustavom,85,1.789.394,7.098.042,34.779.871
Q EXPERIENCE D.O.O.,ZAGREB,6110,Djelatnosti žičane telekomunikacije,10,1.761.454,1.669.061,10.676.280
CELEBES IT D.O.O.,DUBROVNIK,6201,Računalno programiranje,22,1.754.285,8.475.731,10.751.007
ION STUDIO D.O.O.,ZAGREB,6201,Računalno programiranje,8,1.743.738,2.586.566,6.537.319
OSMI BIT D.O.O,ZAGREB,6201,Računalno programiranje,22,1.743.028,2.629.747,7.722.241
CA TEHNOLOGIJE ADRIATIC D.O.O.,ZAGREB,6201,Računalno programiranje,3,1.713.321,2.499.429,7.536.309
SVAM PLUS D.O.O. ZA INFORMATIČKI INŽENJERING,ZAGREB,6201,Računalno programiranje,28,1.665.575,3.591.901,9.346.543
STATUS D.O.O.,RIJEKA,6201,Računalno programiranje,8,1.663.246,2.369.679,3.678.658
8 SIGMA D.O.O.,ZAGREB,6201,Računalno programiranje,7,1.659.416,2.171.338,2.983.507
PAKEL D.O.O.,ZADAR,6201,Računalno programiranje,12,1.649.330,6.959.410,6.010.010
AMPLEXOR ADRIATIC D.O.O.,ZAGREB,6201,Računalno programiranje,62,1.639.539,10.740.500,34.266.254
INTELLEXI D.O.O.,ZAGREB,6201,Računalno programiranje,11,1.632.350,3.048.350,5.513.038
GAUSS D.O.O.,VUKOVAR,6201,Računalno programiranje,69,1.613.639,3.106.513,11.290.415
APCOM D.O.O.,ZAGREB,6209,Ostale uslužne djelatnosti u vezi s informacijskom tehnologijom i računalima,5,1.597.384,6.647.353,12.837.607
SENSORIUM D.O.O.,MAKARSKA,6201,Računalno programiranje,1,1.594.945,1.614.944,2.029.639
IRATA D.O.O.,ZAGREB,6201,Računalno programiranje,17,1.587.685,5.877.983,9.002.630
KRON D.O.O.,SPLIT,6201,Računalno programiranje,22,1.582.936,10.371.270,7.859.331
ERSTE GROUP IT HR D.O.O.,BJELOVAR,6311,"Obrada podataka, usluge poslužitelja i djelatnosti povezane s njima",64,1.541.338,6.631.930,99.335.647
UNDABOT D.O.O.,ZAGREB,6201,Računalno programiranje,17,1.535.847,3.426.332,8.352.060
